number,age,response_id,gender,fav_char,choice_dictation,Socialiser,Achiever,Explorer,Killer,platform,class,character_gender,Self.Monitoring,Nondisclosure.of.Imperfection,Nondisplay.of.Imperfection,Perfectionistic.Self.Promotion,Openness.To.Experience,Agreeableness,Conscienctiousness,Neuroticism,Extraversion
1,35 - 39,R_Zh6OUNeuEbUwU9z,Male,D. Va,29,3,1,4,2,Playstation,Tank,Female,21,6.285714286,6.4,6.2,3.428571429,3.428571429,3,4.125,2.333333333
2,35 - 39,R_3jYBeAVzW1Pjjhi,Male,Mercy,79,2,1,4,3,Playstation,Support,Female,12,4,5.2,4.2,4,4.142857143,4,3.25,2.888888889
3,18 - 20,R_27fJ5Ndn9JRruCk,Male,Genji,29,1,2,4,3,PC,Offense,Male,10,2.428571429,2.6,1.7,3.428571429,4.285714286,4.4,1.5,3.111111111
4,21 - 24,R_3p43oNV2xEuW0pa,Male,Junkrat,88,1,2,3,4,XBox,Defense,Male,12,2,2.3,1.8,3.714285714,4.428571429,4.4,2.375,2.111111111
5,25 - 29,R_22XfGfWYevgHKND,Male,Lucio,71,3,1,4,2,PC,Support,Male,15,4.857142857,5.4,4.2,3.857142857,3.714285714,3.5,3,2.333333333
6,21 - 24,R_2riPTDpqKD0bCUW,Male,Ana,80,3,1,2,4,PC,Support,Female,13,4.142857143,4.8,5.1,3.857142857,3.142857143,3.4,3,2.333333333
7,18 - 20,R_31X9oTNNNyiYrE8,Male,Pharah,81,1,2,3,4,PC,Offense,Female,8,4.714285714,4.6,4,3.857142857,3.857142857,3.1,2.375,2.777777778
8,18 - 20,R_1j8nfjj9PxBbJD9,Male,Symmetra,55,3,1,2,4,Playstation,Support,Female,18,5.142857143,5.4,5.1,3.857142857,2.428571429,2,3.625,2.444444444
9,25 - 29,R_yEeuIPvTUvsHRXH,Male,Pharah,51,3,1,4,2,PC,Offense,Female,14,4,3.4,3.8,4.285714286,3.428571429,3.9,2.125,3.222222222
10,21 - 24,R_24uUBaVWaoQGMT7,Female,Junkrat,49,1,3,2,4,Playstation,Defense,Male,7,3.285714286,4.6,2.4,4,4.571428571,2.1,3.875,2.111111111
11,25 - 29,R_wOkypBSOQwGqvVT,Male,Zarya,30,2,1,4,3,PC,Tank,Female,12,4.285714286,6.1,5.5,4.285714286,4.571428571,3.2,1.875,3.111111111
12,21 - 24,R_3L6fBYjSwLPekKs,Female,Sombra,26,1,3,2,4,Playstation,Offense,Female,8,3.428571429,4.9,2.5,4.714285714,4.428571429,3.9,3.75,1.333333333
13,30 - 34,R_1DSa6fgLIckIrb7,Male,Soldier: 76,17,4,1,2,3,PC,Offense,Male,9,5.285714286,6.4,5.2,2.142857143,2.142857143,3,4,1.333333333
14,18 - 20,R_dbfXey8R4uGulDr,Male,Hanzo,40,2,1,4,3,PC,Defense,Male,17,4.714285714,6.4,5.4,4.571428571,2.285714286,2,3.5,2.111111111
15,18 - 20,R_0cyHSVTFBk6Dfb3,Female,Widowmaker,94,1,2,4,3,PC,Defense,Female,15,4.285714286,5.2,4.5,4,3.857142857,2.9,4.125,3.666666667
16,18 - 20,R_1nVoL0cTYsTQL79,Male,Widowmaker,19,2,1,4,3,PC,Defense,Female,11,5,3.3,3.2,2.142857143,3,4.3,1,4.111111111
17,18 - 20,R_2PhdJkOxNr1GzCc,Male,Zenyatta,50,1,4,3,2,PC,Support,Male,14,2.857142857,6.7,5.1,3.428571429,3.857142857,3.2,4,2.777777778
18,18 - 20,R_3eryjNTZb9j4G8A,Male,Genji,0,2,1,4,3,PC,Offense,Male,14,1.428571429,3.3,1,2.857142857,3.714285714,2.9,1.25,3.555555556
19,18 - 20,R_2VRdrXEnLEXJh6o,Male,Zenyatta,91,3,1,4,2,PC,Support,Male,13,4,4,4,3,3,3,3,3
20,21 - 24,R_BYwHnkyj4CvGbIt,Male,Zenyatta,65,1,2,3,4,PC,Support,Male,14,4.428571429,5.4,3.6,4.428571429,3.428571429,2,4.375,2.222222222
21,18 - 20,R_23ZyMkW4cQXmqzv,Male,Winston,70,1,2,4,3,PC,Tank,Male,7,3.285714286,4.5,3,3.571428571,4,4,3.875,2.444444444
22,18 - 20,R_2B3bnfE8wFhJfRg,Male,Soldier: 76,38,2,1,4,3,PC,Offense,Male,10,4.714285714,4.4,3.6,2.285714286,2.571428571,3,3,1.666666667
23,18 - 20,R_3HSmrcgxD7WlnD0,Female,Widowmaker,50,1,2,4,3,Playstation,Defense,Female,14,5.142857143,5.2,4.4,3.285714286,4.571428571,3.1,3.875,2.888888889
24,18 - 20,R_1i4Hia5rCrW8hGx,Male,Lucio,70,2,1,4,3,XBox,Support,Male,14,2.571428571,5.3,4,4.142857143,3.714285714,2.2,3.25,2
25,21 - 24,R_2Ezd0fTIDGUEsfX,Female,Winston,60,1,2,4,3,Playstation,Tank,Male,15,3.714285714,6,3.9,3.857142857,4.857142857,2.7,3.5,4.555555556
26,25 - 29,R_ABBmTCAGyrFWuoF,Male,Mercy,18,2,4,3,1,Playstation,Support,Female,9,2.857142857,4.3,2.9,4.142857143,4.428571429,2.6,3,2.555555556
27,25 - 29,R_Ui4zmfhMVfU5E41,Female,Sombra,40,2,1,3,4,PC,Offense,Female,14,5.142857143,6.7,5.3,3.857142857,4,3.4,2.875,2.444444444
28,25 - 29,R_3JfTC4a7ioHphUf,Male,Ana,0,4,1,2,3,PC,Support,Female,7,3.714285714,3.1,2.1,3.857142857,2.857142857,2.5,3.75,1.666666667
29,30 - 34,R_1eK0znf2UGInITy,Female,Mercy,59,1,2,3,4,XBox,Support,Female,14,2.714285714,3.4,2.6,1.857142857,4.142857143,3.6,2.5,2.888888889
30,30 - 34,R_2s6WTiAFDhowGFG,Male,D. Va,50,4,1,2,3,PC,Tank,Female,12,4.714285714,4.9,3.8,2.142857143,3,3.2,2,2.333333333
31,18 - 20,R_3s0ycj0bQVTlXwo,Male,Genji,50,1,2,3,4,PC,Offense,Male,11,3.428571429,5.5,3.3,4.428571429,4.428571429,3.5,2.75,2.666666667
32,30 - 34,R_20Uma0B35SKhBg7,Male,Sombra,71,2,1,3,4,PC,Offense,Female,11,5,6.8,5.7,3.142857143,3.428571429,3.8,3.25,2.333333333
33,21 - 24,R_DwNVEy8gsaae2m5,Male,Ana,100,2,1,3,4,PC,Support,Female,16,6.285714286,5.2,4.6,4,3.714285714,2.8,3.125,3.111111111
34,18 - 20,R_1gdxHkEHMCOgsVR,Male,Zenyatta,43,3,1,4,2,PC,Support,Male,17,4.571428571,6.8,3.6,4,4.428571429,3.2,3.625,2.666666667
35,25 - 29,R_2rgyM3QMmCdhubD,Male,McCree,49,2,1,3,4,Playstation,Offense,Male,12,2,3.7,4.3,4,3.285714286,3.8,2.125,3
36,25 - 29,R_6CZmxf18zcRPg8F,Male,D. Va,49,2,1,3,4,Playstation,Tank,Female,10,3.428571429,3,2.3,3.142857143,3.571428571,3.6,1.25,3.555555556
37,18 - 20,R_3iqkqU2fAVQVfBI,Male,Genji,14,2,1,4,3,PC,Offense,Male,12,2.428571429,2,2.2,3.714285714,3.571428571,2.7,2.25,2.444444444
38,18 - 20,R_24bIyxwWCzRI0Ir,Male,Roadhog,70,2,1,4,3,Playstation,Tank,Male,20,3.571428571,4.8,3.8,4.857142857,4.571428571,2.6,2.875,3.777777778
